Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
41,1.83330578491699,0.8315125563171799,1.9234071200593363,0.16360830286900716,0.33101466292402676,0.6909545439594285,0.46453626273299636,0.30573475002645245,1.634669830438384,0.263808547046811
42,1.8281745601069452,0.8189054039423972,1.9098617010589323,0.15965872694879252,0.3158746075213512,0.6674684572428433,0.4395348781279013,0.29588934595639815,1.669724467683156,0.2627054270740165
43,1.8070289248801568,0.806836320752139,1.8879401955088995,0.16146738733167504,0.3087217046290897,0.6337406983358989,0.421487265705045,0.3019983945371735,1.7083762744048792,0.26948510575210316
44,1.7760027755006067,0.7954415583355403,1.8699581370563976,0.15792531158875084,0.3138728430689116,0.6348554277482505,0.42958754002584215,0.27004675988660287,1.737662135447998,0.2778270663342195
45,1.7362690756418782,0.7652160188832664,1.8259661895151633,0.16353111093129724,0.2873265836231755,0.6286196196927251,0.411544270849063,0.2527505257815071,1.780707781198308,0.2950158359043518
46,1.7070534007849059,0.7667299051652724,1.7970514570801637,0.17561148578436986,0.2946852455407191,0.6442119922114854,0.4508969736071432,0.262382248722059,1.7834760633904985,0.29725172137194744
47,1.6952053598668253,0.7750946504600049,1.7789123904592077,0.16643620429765305,0.32157440975628176,0.6471038821885049,0.4694839204010628,0.24090737563711836,1.7883944043343867,0.30152976970807044
48,1.6691871850052824,0.7757043068832167,1.7516387709337746,0.1212060604545379,0.30287511177601456,0.676947993466696,0.4671804530987741,0.25829862914499147,1.8169290886359086,0.29929884393328016
49,1.659452264508328,0.8047956011286093,1.746021162239994,0.14353403847875318,0.2661567093638519,0.6928319865711755,0.4781815301301126,0.25744666997028315,1.8383468638750393,0.30287511177601456
50,1.6452699265813897,0.8281682354827588,1.7258214264400578,0.16690588892419508,0.27076211184750576,0.6633942411507044,0.5026194013627634,0.25137199284701306,1.8467826240806091,0.31698548544026106
51,1.628487244982504,0.8176407301720993,1.7083857345991327,0.13473130761825644,0.2883250130171039,0.648176151391212,0.4748747841337342,0.26399418420285187,1.8608619160773512,0.3215162939459325
52,1.5832899515588013,0.7981670921998144,1.6750202772781377,0.12973944362576567,0.29020369022150944,0.6242538980999072,0.44269149254956053,0.2585898042628264,1.845882942763121,0.3246692178357859
53,1.5474511464033527,0.7908638672778372,1.6322952792886092,0.1443760521847181,0.27486635871185683,0.6287224500460591,0.44614963291422194,0.27257841055188126,1.8271518378021674,0.3198658178270092
54,1.525874811180111,0.7715418120081166,1.6026527882220651,0.12101840581272978,0.264575131106459,0.6247941075007645,0.4481161465603318,0.25756238824483646,1.819815452958976,0.3232958428749154
55,1.5118441478117801,0.7560790669999768,1.5870867791158882,0.10664298979645719,0.25268457600236494,0.6086049621881175,0.4245687056986017,0.2635633824446343,1.816092764506519,0.32158697395600744
56,1.45812214921117,0.7446638452511593,1.5426367954992783,0.1122542208605543,0.23327921450311834,0.6192729526622247,0.43009395262059663,0.2706818923915799,1.7957129081467476,0.3170954035452027
57,1.4377226661100062,0.7385188562319185,1.5164615245879323,0.10798428617445255,0.20343266326931989,0.6375291635238612,0.430760426982964,0.2557046117786077,1.7862335522070745,0.3110928926844647
58,1.4324447562813654,0.7337319853070509,1.5071211435761032,0.11127815725841386,0.21225104251924196,0.6115545682103846,0.3989012687648689,0.26285149626910836,1.764141992498611,0.31796543869109456
59,1.3851663649489396,0.706678101679923,1.4733576715390015,0.10671873729054748,0.2060303008018113,0.5895589860054701,0.38821008578741323,0.26018447224221436,1.7274737788359211,0.3174058358733573
60,1.3420006172001773,0.688282887578453,1.4280112610256832,0.11325755042059107,0.20375019365424274,0.583527240498711,0.3871731270414184,0.24139953888468263,1.6811717294311084,0.3205802819446592
61,1.3169155882844834,0.7057169146593864,1.399359160689657,0.10150384378451045,0.2060303008018113,0.5749448809769648,0.3837757657589108,0.22638797483858358,1.6727703387077995,0.32050937993491335
62,1.2915025311159045,0.6890192121758832,1.3766519919975082,0.09645745385422737,0.19089105253886035,0.5687794836402779,0.3812207928868688,0.22132749170823446,1.6456772269657058,0.3214927304894712
